latitude,longitude,combined_risk_score,combined_risk_level,sea_ice_risk_score,nearby_iceberg_risk,route_order
-69.5,76.5,68.32099213950633,High,97.6014173421519,0.0,0
-69.5,74.5,31.244437631166647,Moderate,44.63491090166664,0.0,1
-69.5,73.5,31.83081200314443,Moderate,45.47258857592062,0.0,2
-69.5,72.5,49.93153311047106,High,71.33076158638723,0.0,3
-69.5,71.5,60.38649752825292,High,86.26642504036131,0.0,4
-69.5,70.5,65.6582360670456,High,93.79748009577943,0.0,5
-69.5,69.5,67.82879823217974,High,96.8982831888282,0.0,6
-68.5,67.5,67.87040189212952,High,96.95771698875647,0.0,7
-67.5,65.5,67.91628714647194,High,97.02326735210278,0.0,8
-66.5,63.5,68.31864687599318,High,97.59806696570456,0.0,9
-65.5,62.5,49.00213320378016,High,70.00304743397166,0.0,10
-64.5,61.5,15.66398897319568,Moderate,22.377127104565258,0.0,11
-64.5,59.5,9.227491822216054,Low,13.182131174594364,0.0,12
-64.5,56.5,7.501861806030869,Low,10.716945437186956,0.0,13
-64.5,54.5,10.206773840752415,Low,14.581105486789165,0.0,14
-64.5,51.5,8.704330653195186,Low,12.434758075993123,0.0,15
-64.5,49.5,6.687127724493066,Low,9.553039606418666,0.0,16
-64.5,47.5,7.522962488391976,Low,10.747089269131395,0.0,17
-64.5,46.5,11.749869798961113,Low,16.78552828423016,0.0,18
-64.5,43.5,9.474502133000003,Low,13.535003047142862,0.0,19
-64.5,42.5,9.498775855055555,Low,13.56967979293651,0.0,20
-64.5,41.5,10.2665217771,Low,14.666459681571432,0.0,21
-64.5,40.5,11.458402120574078,Low,16.369145886534398,0.0,22
-64.5,39.5,13.013386054340744,Low,18.590551506201063,0.0,23
-64.5,36.5,6.34263663545731,Low,9.060909479224728,0.0,24
-64.5,35.5,5.151682695769755,Low,7.359546708242507,0.0,25
-64.5,32.5,6.304982947353374,Low,9.007118496219107,0.0,26
-64.5,31.5,15.630407440694244,Moderate,22.329153486706065,0.0,27
-64.5,28.5,7.205797023531418,Low,10.293995747902027,0.0,28
-64.5,26.5,6.856940820450774,Low,9.795629743501106,0.0,29
-64.5,25.5,7.172760325928552,Low,10.246800465612218,0.0,30
-64.5,24.5,7.346857044372997,Low,10.495510063389997,0.0,31
-64.5,23.5,7.7585960701952175,Low,11.083708671707454,0.0,32
-64.5,21.5,8.330686524206326,Low,11.90098074886618,0.0,33
-64.5,20.5,9.217601448895214,Low,13.168002069850306,0.0,34
-64.5,19.5,11.141565994955558,Low,15.916522849936513,0.0,35
-65.5,18.5,15.728807430900002,Moderate,22.46972490128572,0.0,36
-66.5,17.5,39.32768484839999,Moderate,56.18240692628571,0.0,37
-67.5,16.5,40.88829058705555,High,58.41184369579364,0.0,38
-68.5,15.5,64.08057727737038,High,91.54368182481484,0.0,39
-69.5,14.5,66.71330376889489,High,95.30471966984985,0.0,40
-70.5,12.5,67.41904227264132,High,96.31291753234476,0.0,41
-70.5,11.5,67.68381680403543,High,96.69116686290776,0.0,42
