iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-01-05,-76.2326,-46.6234,-76.2326,-46.6234,-76.23044702938562,-46.62374302652967,0.23957146439188579,0.23957146439188579,0.01592466152770214,0.02254574593252824,1.857309528963258,Low
a22a,2002-01-06,-76.2326,-46.6234,-76.2326,-46.6234,-76.23001910524046,-46.62470880246411,0.2890650893623714,0.2890650893623714,0.019214574320257184,0.02720352392247736,2.2410154161145255,Low
a22a,2002-01-07,-76.2326,-46.6234,-76.2326,-46.6234,-76.23019869689817,-46.62345793276208,0.2670171238671067,0.2670171238671067,0.017749014184463154,0.025128619761219398,2.0700856415165654,Low
a22a,2002-01-08,-76.2326,-46.6234,-76.2326,-46.6234,-76.23123613383632,-46.62669615511848,0.17495129778821925,0.17495129778821925,0.011629265648066798,0.016464429603548717,1.3563331230259565,Low
a22a,2002-01-09,-76.2326,-46.6234,-76.2326,-46.6234,-76.22969228135383,-46.623711743564485,0.32342880643345345,0.32342880643345345,0.021498780265150324,0.030437446778642612,2.507424687054724,Low
a22a,2002-01-10,-76.2326,-46.6234,-76.2326,-46.6234,-76.23059731267557,-46.62539458926875,0.22885915338360668,0.22885915338360668,0.015212598730827153,0.02153762485702395,1.7742609181305873,Low
a22a,2002-01-11,-76.2326,-46.6234,-76.2326,-46.6234,-76.22984636048973,-46.623440208443185,0.30619259240727975,0.30619259240727975,0.02035306420467303,0.028815370028979628,2.3737986534395668,Low
a22a,2002-01-12,-76.2326,-46.6234,-76.2326,-46.6234,-76.22959775442601,-46.62093483914589,0.34014968533375217,0.34014968533375217,0.022610241254917403,0.032011026037806985,2.6370555168073238,Low
a22a,2002-01-13,-76.2326,-46.6234,-76.2326,-46.6234,-76.2307292984356,-46.62340717551052,0.20801260990317963,0.20801260990317963,0.013826898852959851,0.019575784893845805,1.6126453269314234,Low
a22a,2002-01-14,-76.2326,-46.6234,-76.2326,-46.6234,-76.2312268254932,-46.625461478874655,0.16214312875001916,0.16214312875001916,0.010777888138476223,0.015259070168404259,1.2570360950447437,Low
a22a,2002-01-15,-76.2326,-46.6234,-76.2326,-46.6234,-76.23119840537231,-46.62558122556072,0.16619638685917187,0.16619638685917187,0.011047314063790462,0.015640516797533817,1.2884595157287804,Low
a22a,2002-01-16,-76.2326,-46.6234,-76.2749,-46.4862,-76.23119497511712,-46.62536880027531,6.0942883987412575,0.16469029568814209,0.4050961588789429,0.015498780597943214,24.9257207566543,Low
a22a,2002-01-17,-76.2749,-46.4862,-76.2749,-46.4862,-76.27646558752564,-46.44806106948732,1.0210941986246331,1.0210941986246331,0.06787360732745215,0.09609379161164085,7.916168104112763,Low
a22a,2002-01-18,-76.2749,-46.4862,-76.3258,-46.3235,-76.27280462036255,-46.48201339835353,7.2217216520507295,0.25785395219325136,0.4800382768795269,0.024266286089639273,29.77294805635718,Moderate
a22a,2002-01-19,-76.3258,-46.3235,-76.3258,-46.3235,-76.33188188547187,-46.32125133859142,0.6788519957727335,0.6788519957727335,0.0451242734084653,0.06388584158523083,5.2628900679171515,Low
a22a,2002-01-20,-76.3258,-46.3235,-76.3258,-46.3235,-76.32110177808717,-46.299749519014455,0.8141410562959888,0.8141410562959888,0.05411713281558349,0.07661771177582379,6.3117364399679605,Low
a22a,2002-01-21,-76.3258,-46.3235,-76.3258,-46.3235,-76.32462678918573,-46.325868177471534,0.14454781590720428,0.14454781590720428,0.009608302260595903,0.013603199115629195,1.1206261002609221,Low
a22a,2002-01-22,-76.3258,-46.3235,-76.3258,-46.3235,-76.32412048132258,-46.325251208791485,0.19234436476842842,0.19234436476842842,0.012785407951122589,0.01810126757220507,1.4911751799555581,Low
a22a,2002-01-23,-76.3258,-46.3235,-76.3258,-46.3235,-76.3240940908191,-46.32504810048036,0.1940049718320003,0.1940049718320003,0.012895790902969625,0.018257545053098245,1.5040492563021073,Low
a22a,2002-01-24,-76.3258,-46.3235,-76.3258,-46.3235,-76.32249430601483,-46.320013219003215,0.3788338994783056,0.3788338994783056,0.025181636885364723,0.035651545019967354,2.9369600139205776,Low
a22a,2002-01-25,-76.3258,-46.3235,-76.3258,-46.3235,-76.32282592228655,-46.32113572050446,0.3364927015724051,0.3364927015724051,0.022367156258298215,0.03166687225066043,2.60870426552431,Low
a22a,2002-01-26,-76.3258,-46.3235,-76.3258,-46.3235,-76.32345865505808,-46.32361790297318,0.2603641289632915,0.2603641289632915,0.017306779996607295,0.024502515424575776,2.0185074167794683,Low
a22a,2002-01-27,-76.3258,-46.3235,-76.3429,-46.154,-76.32262042844978,-46.32091869659362,4.931305657880505,0.36000601728907683,0.32779101505567004,0.033879678535937534,21.022648044777704,Low
a22a,2002-01-28,-76.3429,-46.154,-76.3429,-46.154,-76.34745406268715,-46.13784520842714,0.6604992705819187,0.6604992705819187,0.043904341237008586,0.06215869148255928,5.120608133522886,Low
a22a,2002-01-29,-76.3429,-46.154,-76.3429,-46.154,-76.33749808667072,-46.114820872273896,1.1913312093470083,1.1913312093470083,0.07918950749996637,0.11211456604653533,9.235953091859395,Low
a22a,2002-01-30,-76.3429,-46.154,-76.3429,-46.154,-76.34189966583905,-46.1567045949144,0.13196578952376095,0.13196578952376095,0.008771956780145855,0.012419121659336415,1.023082273182208,Low
a22a,2002-01-31,-76.3429,-46.154,-76.3429,-46.154,-76.33810361504806,-46.14878846559466,0.5506109292254728,0.5506109292254728,0.0365999043484838,0.05181724855880313,4.268684203261152,Low
