latitude,longitude,combined_risk_score,combined_risk_level,sea_ice_risk_score,nearby_iceberg_risk,route_order
-69.5,76.5,68.32099213950633,High,97.6014173421519,0.0,0
-68.5,75.5,68.81890587273719,High,98.31272267533885,0.0,1
-67.5,74.5,68.97322531123667,High,98.5331790160524,0.0,2
-66.5,73.5,63.57762432577046,High,90.82517760824352,0.0,3
-65.5,72.5,62.114286051900045,High,88.73469435985722,0.0,4
-64.5,71.5,63.6139486849176,High,90.8770695498823,0.0,5
-63.5,70.5,25.969065656588885,Moderate,37.09866522369841,0.0,6
-62.5,69.5,10.60101856234433,Low,15.144312231920471,0.0,7
-62.5,68.5,7.432019480097881,Low,10.617170685854116,0.0,8
-61.5,67.5,0.8032315202745097,Low,1.1474736003921568,0.0,9
-60.5,66.5,0.0872905058608589,Low,0.1247007226583699,0.0,10
-60.5,64.5,0.0822180420927429,Low,0.1174543458467757,0.0,11
-60.5,62.5,0.0822180420927429,Low,0.1174543458467757,0.0,12
-60.5,60.5,0.1210299951,Low,0.172899993,0.0,13
-60.5,59.5,1.8942710235862068,Low,2.70610146226601,0.0,14
-60.5,57.5,0.5720200014976803,Low,0.8171714307109719,0.0,15
-60.5,55.5,0.2696296213333333,Low,0.3851851733333333,0.0,16
-60.5,54.5,0.1259310164333543,Low,0.179901452047649,0.0,17
-60.5,52.5,0.1259310164333543,Low,0.179901452047649,0.0,18
-61.5,50.5,0.4033724940933542,Low,0.5762464201333632,0.0,19
-61.5,49.5,0.4084449578614702,Low,0.5834927969449575,0.0,20
-61.5,47.5,0.3293495009209405,Low,0.470499287029915,0.0,21
-61.5,45.5,0.4084449578614702,Low,0.5834927969449575,0.0,22
-61.5,43.5,0.5357189205281369,Low,0.7653127436116242,0.0,23
-61.5,42.5,1.09419383407173,Low,1.5631340486739,0.0,24
-61.5,40.5,0.5246911016666667,Low,0.7495587166666666,0.0,25
-61.5,38.5,0.26703551,Low,0.3814793,0.0,26
-61.5,37.5,0.7792684977777777,Low,1.1132407111111111,0.0,27
-61.5,35.5,0.6673884077777777,Low,0.9534120111111112,0.0,28
-61.5,33.5,0.6673884077777777,Low,0.9534120111111112,0.0,29
-61.5,31.5,0.6673884077777777,Low,0.9534120111111112,0.0,30
-61.5,29.5,0.15515542,Low,0.2216506,0.0,31
-61.5,28.5,0.578635316879227,Low,0.8266218812560386,0.0,32
-61.5,26.5,0.1740666697777777,Low,0.2486666711111111,0.0,33
-61.5,25.5,0.1764390216521739,Low,0.2520557452173913,0.0,34
-61.5,24.5,0.3615501560966183,Low,0.5165002229951691,0.0,35
-61.5,22.5,0.3615501560966183,Low,0.5165002229951691,0.0,36
-62.5,20.5,0.9543375501579812,Low,1.3633393573685446,0.0,37
-62.5,18.5,3.43956070104394,Low,4.913658144348486,0.0,38
-62.5,16.5,1.1806162429031994,Low,1.6865946327188566,0.0,39
-62.5,15.5,1.2786081694143103,Low,1.8265830991633007,0.0,40
-63.5,13.5,0.9072307774031996,Low,1.2960439677188564,0.0,41
-63.5,12.5,0.931180993146443,Low,1.3302585616377758,0.0,42
-63.5,11.5,0.9495283015353316,Low,1.3564690021933312,0.0,43
-64.5,9.5,5.031299152794016,Low,7.187570218277166,0.0,44
-65.5,8.5,3.7271716764444447,Low,5.324530966349207,0.0,45
-66.5,8.5,5.721750641488891,Low,8.173929487841272,0.0,46
-67.5,9.5,14.161602761922222,Low,20.23086108846032,0.0,47
-68.5,10.5,65.64511706699587,High,93.77873866713696,0.0,48
-69.5,10.5,67.99578484540429,High,97.1368354934347,0.0,49
-70.5,11.5,67.68381680403543,High,96.69116686290776,0.0,50
