latitude,longitude,combined_risk_score,combined_risk_level,sea_ice_risk_score,nearby_iceberg_risk,route_order
-69.5,76.5,68.32099213950633,High,97.6014173421519,0.0,0
-69.5,72.5,49.93153311047106,High,71.33076158638723,0.0,1
-69.5,69.5,67.82879823217974,High,96.8982831888282,0.0,2
-68.5,67.5,67.87040189212952,High,96.95771698875647,0.0,3
-67.5,65.5,67.91628714647194,High,97.02326735210278,0.0,4
-67.5,62.5,66.95651003440702,High,95.65215719201004,0.0,5
-67.5,59.5,66.80363838711392,High,95.43376912444846,0.0,6
-67.5,56.5,67.55875299187444,High,96.51250427410636,0.0,7
-66.5,53.5,60.303451053168615,High,86.14778721881231,0.0,8
-67.5,50.5,60.62218361586747,High,86.60311945123925,0.0,9
-67.5,48.5,66.0981123228488,High,94.42587474692688,0.0,10
-68.5,45.5,61.544940642143104,High,87.92134377449015,0.0,11
-68.5,43.5,38.77223207861852,Moderate,55.38890296945504,0.0,12
-69.5,40.5,58.45308129137256,High,83.50440184481795,0.0,13
-69.5,36.5,56.64255194589055,High,80.91793135127222,0.0,14
-69.5,34.5,55.90099578499905,High,79.8585654071415,0.0,15
-69.5,30.5,43.51949830028335,High,62.17071185754764,0.0,16
-70.5,28.5,46.25840937594442,High,66.08344196563489,0.0,17
-70.5,23.5,53.56134412026196,High,76.51620588608851,0.0,18
-70.5,22.5,53.8246251789117,High,76.89232168415958,0.0,19
-70.5,18.5,62.4109820114445,High,89.15854573063501,0.0,20
-70.5,13.5,67.2358967665276,High,96.05128109503944,0.0,21
-70.5,11.5,67.68381680403543,High,96.69116686290776,0.0,22
